model;year;price;Transmission;mileage;fuelType;engineSize
MarutiWagonR1.0LXI;2014;312165;MANUAL;82238;Petrol + CNG;1
ToyotaEtiosLiva;2013;313799;MANUAL;30558;Petrol;1
MarutiAlto800;2018;295999;MANUAL;22164;Petrol;1
MarutiSwift;2013;435199;MANUAL;30535;Diesel;1
MarutiWagonR1.0;2013;289099;MANUAL;15738;Petrol;1
HyundaiElitei20ASTA1.2;2018;708199;MH12;32652;Petrol;1
HyundaiGrandi10SPORTZ1.2KAPPA;2013;410788;MANUAL;32496;Petrol;1
HyundaiElitei20ASTA;2015;606599;MANUAL;27487;Petrol;1
MarutiCelerio;2018;459199;MANUAL;41383;Petrol;1
MarutiWagonR1.0;2012;265899;MANUAL;65476;Petrol + CNG;1
MarutiSwiftDzireVXI1.2BS;2013;426999;MANUAL;27992;Petrol;1
MarutiDzire;2018;671499;MANUAL;14061;Petrol;1
HondaCivic1.8S;2007;146870;MANUAL;52138;Petrol;1
MarutiAltoK10VXI;2014;290099;TS07;46410;Petrol;1
MarutiAlto800LXI;2016;285399;MANUAL;47168;Petrol + CNG;1
HyundaiVernaFLUIDIC1.6EX;2013;529699;MANUAL;72813;Petrol + CNG;1
ToyotaEtiosCROSS1.4;2015;424399;MANUAL;79123;Diesel;1
HondaCitySVCVT;2016;615799;AUTOMATIC;72097;Petrol;1
VolkswagenVentoHIGHLINE;2014;413999;MANUAL;151201;Diesel;1
Hyundaii20MAGNAO;2012;328199;MANUAL;73356;Petrol;1
VolkswagenPoloGT;2018;948899;MANUAL;14516;Petrol;1
MahindraTUV300;2016;656399;MANUAL;34658;Diesel;1
HondaAmaze1.5VCVT;2018;698899;UP14;53486;Diesel;1
TataNanoXT;2014;100599;MANUAL;35905;Petrol;1
RenaultKwid;2016;250399;MANUAL;39278;Petrol;1
MarutiAltoK10;2017;309999;MANUAL;36245;Petrol;1
HyundaiElitei20SPORTZ;2015;518099;MANUAL;61923;Petrol;1
MarutiZenEstilo;2010;211799;MANUAL;39612;Petrol;1
MarutiCelerioZXI;2015;332627;AUTOMATIC;58558;Petrol;1
MarutiSwiftDzireVDIBS;2013;477214;MANUAL;72553;Diesel;1
MarutiBalenoALPHA1.2;2018;669899;MANUAL;13931;Petrol;1
MarutiSwiftVDI;2016;447799;MANUAL;48780;Diesel;1
TataTiagoXT1.2;2016;318699;MANUAL;86339;Petrol;1
MahindraBoleroPower+;2018;840899;MANUAL;25376;Diesel;1
HyundaiElitei20MAGNA1.4;2017;667699;AUTOMATIC;15683;Petrol;1
MarutiSX4;2011;210799;MANUAL;117838;Diesel;1
MarutiBalenoDELTA1.2K12;2017;573999;AUTOMATIC;28083;Petrol;1
MarutiSwiftVXI;2010;315099;MANUAL;45714;Petrol;1
HondaCityVMT;2011;319399;MANUAL;50615;Petrol;1
MahindraXUV500W8;2012;441699;MANUAL;59608;Diesel;1
HyundaiVENUE1.4CRDIMT;2019;991699;UP32;2823;Diesel;1
MarutiSwift;2012;260699;MANUAL;141644;Petrol;1
ToyotaEtiosLiva;2013;311899;MANUAL;105493;Diesel;1
Hyundaii20MAGNAO1.4;2012;363099;MANUAL;83767;Diesel;1
MarutiAltoK10VXI;2015;375799;KA01;11362;Petrol;1
MarutiSwift;2012;341399;MANUAL;61365;Diesel;1
FordEcosport1.5TITANIUMTI;2014;486599;MANUAL;87581;Petrol;1
MarutiSwift;2012;292399;MANUAL;96637;Diesel;1
Hyundaii10SPORTZ1.2;2012;227299;MANUAL;76177;Petrol;1
HondaBrio1.2VMTI;2013;352699;MANUAL;33953;Petrol;1
MarutiErtigaZXISMARTHYBRID;2019;840799;HR03;17435;Petrol;1
HondaCityVXMT;2014;467199;MANUAL;89834;Diesel;1
HondaCityVXMT;2014;606099;MANUAL;83278;Diesel;1
MarutiAlto800;2013;180996;MANUAL;49275;Petrol;1
MarutiAltoK10VXI;2016;323699;MH12;19138;Petrol;1
HondaBrio1.2VMTI;2012;219168;MANUAL;62852;Petrol;1
MahindraScorpioS6;2016;1045899;MANUAL;47310;Diesel;1
HyundaiVENUE1.0LTurboGDISX(O);2019;977199;MH04;8701;Petrol;1
MarutiAlto800;2019;332699;MANUAL;8393;Petrol;1
HondaAccord2.4ATI;2010;282699;AUTOMATIC;188777;Petrol;1
ToyotaCorollaAltis;2014;671199;MANUAL;52544;Petrol;1
VolkswagenPoloHIGHLINE1.2L;2014;407999;MANUAL;33913;Petrol;1
MarutiRitz;2013;240099;MANUAL;44432;Diesel;1
